grant_id,eric_id,title,author,publicationtype,publicationdateyear,publisher,source,url
R305A040043,ED504851,Charter Schools in New York City: Who Enrolls and How They Affect Their Students' Achievement. NBER Working Paper No. 14852,"Hoxby, Caroline M.; Murarka, Sonali",Reports - Descriptive,2009,"National Bureau of Economic Research. 1050 Massachusetts Avenue, Cambridge, MA 02138-5398. Tel: 617-588-0343; Web site: http://www.nber.org/cgi-bin/get_bars.pl?bar=pub",National Bureau of Economic Research,http://www.nber.org/papers/w14852
R305A040043,ED502722,New York City's Charter Schools Overall Report,"Hoxby, Caroline M.; Murarka, Sonali",Reports - Evaluative,2007,"National Bureau of Economic Research. 1050 Massachusetts Avenue, Cambridge, MA 02138-5398. Tel: 617-588-0343; Web site: http://www.nber.org/cgi-bin/get_bars.pl?bar=pub",National Bureau of Economic Research,http://www.nber.org
R305A040043,ED508258,Achievement Trade-Offs and No Child Left Behind. Working Paper,"Ballou, Dale; Springer, Matthew G.",Reports - Research,2009,"Urban Institute. 2100 M Street NW, Washington, DC 20037. Tel: 202-261-5687; Fax: 202-467-5775; Web site: http://www.urban.org",Urban Institute (NJ1),NA
R305A040043,ED508279,"Supplemental Educational Services and Student Test Score Gains: Evidence from a Large, Urban School District. Working Paper","Springer, Matthew G.; Pepper, Matthew J.; Ghosh-Dastidar, Bonnie","Reports - Research,Speeches/Meeting Papers",2009,"Urban Institute. 2100 M Street NW, Washington, DC 20037. Tel: 202-261-5687; Fax: 202-467-5775; Web site: http://www.urban.org",Urban Institute (NJ1),NA
R305A040043,ED500466,"Education Policy, Academic Research, and Public Opinion. AEI Future of American Education Project, Working Paper 2007-01","Howell, William G.","Information Analyses,Reports - Evaluative",2007,"American Enterprise Institute for Public Policy Research. 1150 Seventeenth Street NW, Washington, DC 20036. Tel: 202-862-5800; Fax: 202-862-7177; Web site: http://www.aei.org",American Enterprise Institute for Public Policy Research,https://www.aei.org/articles-op-eds/
R305A040043,ED465840,The Education Gap: Vouchers and Urban Schools.,"Howell, William G.; Peterson, Paul E.","Books,Reports - Evaluative",2002,"Brookings Institution Press, 1775 Massachusetts Avenue, N.W., Washington, DC 20036-2188 ($28.95). Tel: 202-797-6258; Tel: 800-275-1447 (Toll Free); Fax: 202-797-6004; Web site: http://www.brookings.edu.",NA,NA
R305A040043,ED529695,Handbook of Research on School Choice,"Berends, Mark, Ed.; Springer, Matthew G., Ed.; Ballou, Dale, Ed.; Walberg, Herbert J., Ed.","Books,Reports - Descriptive",2009,"Routledge, Taylor & Francis Group. 7625 Empire Drive, Florence, KY 41042. Tel: 800-634-7064; Fax: 800-248-4724; e-mail: cserve@routledge-ny.com; Web site: http://www.routledge.com","Routledge, Taylor & Francis Group",http://www.routledge.com/books/details/9780805862249/
R305A040043,ED530052,"Review of ""The Impact of a Universal Class-Size Reduction Policy: Evidence from Florida's Statewide Mandate""","Finn, Jeremy D.",Reports - Evaluative,2010,"Education and the Public Interest Center. School of Education, University of Colorado, Boulder, CO 80309. Tel: 303-447-EPIC; Fax: 303-492-7090; e-mail: epic@colorado.edu; Web site: http://www.colorado.edu/education/centersoutreach/epic.html",Education and the Public Interest Center,NA
R305A040043,ED543582,Teacher Turnover in Charter Schools. Research Brief,"Stuit, David; Smith, Thomas M.",Reports - Research,2010,"National Center on School Choice, Vanderbilt University. Box 459 GPC, 230 Appleton Place, Nashville, TN 37203. Tel: 615-322-8107; Fax: 615-322-8828; Web site: http://www.vanderbilt.edu/schoolchoice","National Center on School Choice, Vanderbilt University (NJ1)",NA
R305A040043,ED628592,School Choice: The Findings,"Walberg, Herbert J.","Books,Reports - Research",2006,"Cato Institute. 1000 Massachusetts Avenue NW, Washington, DC 20001-5403. Tel: 202-842-0200; Fax: 202-842-3490; e-mail: subscriptions@cato.org; Web site: http://www.cato.org",Cato Institute,https://www.cato.org/books/school-choice-findings
R305A040043,ED628681,Getting Choice Right: Ensuring Equity and Efficiency in Education Policy,"Betts, Julian R., Ed.; Loveless, Tom, Ed.","Books,Collected Works - General",2005,"Brookings Institution Press. 1775 Massachusetts Avenue NW, Washington, DC 20036. Tel: 202-797-6000; Fax: 202-797-6004; e-mail: webmaster@brookings.edu; Web site: https://www.brookings.edu/bipress/",Brookings Institution Press,https://www.brookings.edu/book/getting-choice-right/
R305A040043,ED628683,Schools and the Equal Opportunity Problem. CESifo Seminar Series,"Woessmann, Ludger, Ed.; Peterson, Paul E., Ed.","Books,Collected Works - General",2007,"MIT Press. 55 Hayward Street, Cambridge, MA 02142. Tel: 800-405-1619; Tel: 617-253-5646; Fax: 617-253-1709; e-mail: mitpress-orders@mit.edu; Web site: https://mitpress.mit.edu/",MIT Press,https://mitpress.mit.edu/9780262232579/schools-and-the-equal-opportunity-problem/
R305A040043,ED628708,Choice and Competition in American Education,"Peterson, Paul E., Ed.","Books,Collected Works - General",2005,"Rowman & Littlefield Publishers, Inc. 15200 NBN Way, P.O. Box 191, Blue Ridge Summit, PA 17214-0191. Tel: 800-462-6420; Fax: 800-338-4550; e-mail: custserv@rowman.com; Web site: http://rowman.com/RLPublishers",Rowman & Littlefield Publishers,https://rowman.com/ISBN/9780742545809/Choice-and-Competition-in-American-Education
R305A040043,ED628713,Charter School Outcomes,"Berends, Mark, Ed.; Springer, Matthew G., Ed.; Walberg, Herbert J., Ed.","Books,Collected Works - General",2007,"Routledge, Taylor & Francis Group. 7625 Empire Drive, Florence, KY 41042. Tel: 800-634-7064; Fax: 800-248-4724; e-mail: cserve@routledge-ny.com; Web site: http://www.routledge.com","Routledge, Taylor & Francis Group",https://www.routledge.com/Charter-School-Outcomes/Berends-Springer-Walberg/p/book/9780805862225
R305A040043,EJ535188,School Choice in Milwaukee.,"Peterson, Paul E.; And Others","Reports - Descriptive,Journal Articles",1996,NA,Public Interest,NA
R305A040043,EJ763307,Findings from the City of Big Shoulders: Younger Students Learn More in Charter Schools,"Hoxby, Caroline M.; Rockoff, Jonah E.","Journal Articles,Reports - Research",2005,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/3397721.html
R305A040043,EJ763354,Is Your Child's School Effective?: Don't Rely on NCLB to Tell You,"Peterson, Paul E.; West, Martin R.","Journal Articles,Reports - Evaluative",2006,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/3826496.html
R305A040043,EJ763364,The NCES Private-Public School Study: Findings Are Other than They Seem,"Peterson, Paul E.; Llaudet, Elena","Information Analyses,Journal Articles,Reports - Evaluative",2007,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/4549956.html
R305A040043,EJ861071,The Persuadable Public,"Howell, William G.; Peterson, Paul E.; West, Martin R.","Journal Articles,Reports - Evaluative",2009,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://educationnext.org/persuadable-public/
R305A040043,EJ910571,Grading Schools,"Chingos, Matthew M.; Henderson, Michael; West, Martin","Journal Articles,Reports - Research",2010,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://educationnext.org/journal/",Education Next,http://educationnext.org/grading-schools/
R305A040043,EJ845836,Educating the Public,"Howell, William G.; West, Martin R.","Journal Articles,Reports - Descriptive",2009,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/Educating_the_Public.html
R305A040043,EJ796148,"Is the Price ""Right""?","Howell, William G.; West, Martin R.","Journal Articles,Reports - Descriptive",2008,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/18144279.html
R305A040043,EJ809282,"The 2008 ""Education Next""-PEPG Survey of Public Opinion","Howell, William G.; West, Martin R.; Peterson, Paul E.","Journal Articles,Reports - Research",2008,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/26250734.html
R305A040043,EJ833455,For-Profit and Nonprofit Management in Philadelphia Schools,"Peterson, Paul E.; Chingos, Matthew M.","Journal Articles,Reports - Research",2009,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/For-Profit_and_Nonprofit_Management_in_Philadelphia_Schools.html
R305A040043,EJ767503,Civics Exam: Schools of Choice Boost Civic Values,"Wolf, Patrick J.","Journal Articles,Reports - Evaluative",2007,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/7273471.html
R305A040043,EJ780981,Accountability Incentives: Do Schools Practice Educational Triage?,"Springer, Matthew G.","Journal Articles,Reports - Research",2008,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/10720326.html
R305A040043,EJ774991,"What Americans Think about Their Schools: The 2007 ""Education Next""-PEPG Survey","Howell, William G.; West, Martin R.; Peterson, Paul E.","Journal Articles,Numerical/Quantitative Data,Reports - Research",2007,"Hoover Institution. Stanford University, Stanford, CA 94305-6010. Tel: 800-935-2882; Fax: 650-723-8626; e-mail: educationnext@hoover.stanford.edu; Web site: http://www.hoover.org/publications/ednext",Education Next,http://www.hoover.org/publications/ednext/8768237.html#136432
R305A040056,EJ1227215,The Postsecondary Educational Plans of Rural Youth with Disabilities and Their Nondisabled Peers,"Weiss, Margaret P.; Hutchins, Bryan C.; Meece, Judith L.","Journal Articles,Reports - Research",2012,"SAGE Publications and Hammill Institute on Disabilities. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",Career Development and Transition for Exceptional Individuals,NA
R305A040056,ED588204,Self- and Peer-Identified Victims in Late Childhood: Differences in Perceptions of the School Ecology,"Dawes, Molly; Chen, Chin-Chih; Farmer, Thomas W.; Hamm, Jill V.",Reports - Research,2017,NA,Grantee Submission,NA
R305A040056,ED597076,Examining the Postsecondary Decision-Making Behaviors of Rural Latina/o Youth and Factors That Predict Enrollment,"Ramirez, Nestor Alexis; Meece, Judith L.","Speeches/Meeting Papers,Reports - Research",2017,"AERA Online Paper Repository. Available from: American Educational Research Association. 1430 K Street NW Suite 1200, Washington, DC 20005. Tel: 202-238-3200; Fax: 202-238-3250; e-mail: subscriptions@aera.net; Web site: http://www.aera.net",AERA Online Paper Repository,http://www.aera.net/Publications/Online-Paper-Repository/AERA-Online-Paper-Repository
R305A040082,ED519120,Effects of Cooperative Writing with Embedded Multimedia: A Randomized Experiment,"Madden, Nancy A.; Slavin, Robert E.; Logan, Michele",Reports - Research,2011,"Society for Research on Educational Effectiveness. 2040 Sheridan Road, Evanston, IL 60208. Tel: 202-495-0920; Fax: 202-640-4401; e-mail: inquiries@sree.org; Web site: http://www.sree.org",Society for Research on Educational Effectiveness,NA
R305A040082,ED527574,Beyond the Basics: Effective Reading Programs for the Upper Elementary Grades,"Slavin, Robert E.; Lake, Cynthia; Cheung, Alan; Davis, Susan",Reports - Evaluative,2009,"Center for Data-Driven Reform in Education. Johns Hopkins University, 200 West Towsontown Boulevard, Baltimore, MD 21204. Web site: http://www.education.jhu.edu/crre",Center for Data-Driven Reform in Education,http://www.bestevidence.org/reading/upper_elem/upper_elem_read.htm
R305A040082,ED527634,Effective Programs for Struggling Readers: A Best-Evidence Synthesis,"Slavin, Robert E.; Lake, Cynthia; Davis, Susan; Madden, Nancy A.",Reports - Evaluative,2009,"Center for Data-Driven Reform in Education. Johns Hopkins University, 200 West Towsontown Boulevard, Baltimore, MD 21204. Web site: http://www.education.jhu.edu/crre",Center for Data-Driven Reform in Education,http://www.bestevidence.org/reading/strug/strug_read.htm
R305A040082,ED527637,Effective Reading Programs for the Elementary Grades: A Best-Evidence Synthesis,"Slavin, Robert E.; Lake, Cynthia; Chambers, Bette; Cheung, Alan; Davis, Susan","Information Analyses,Reports - Evaluative",2010,"Center for Data-Driven Reform in Education. Johns Hopkins University, 200 West Towsontown Boulevard, Baltimore, MD 21204. Web site: http://www.education.jhu.edu/crre",Center for Data-Driven Reform in Education (NJ1),http://www.bestevidence.org/reading/elem_read/elem_read.htm
R305A040082,ED527638,Effective Beginning Reading Programs: A Best-Evidence Synthesis,"Slavin, Robert E.; Lake, Cynthia; Chambers, Bette; Cheung, Alan; Davis, Susan",Reports - Evaluative,2009,"Center for Data-Driven Reform in Education. Johns Hopkins University, 200 West Towsontown Boulevard, Baltimore, MD 21204. Web site: http://www.education.jhu.edu/crre",Center for Data-Driven Reform in Education,http://www.bestevidence.org/reading/begin_read/begin_read.htm
R305A040082,ED483806,A Synthesis of Research on Language of Reading Instruction for English Language Learners.,"Slavin, Robert E.; Cheung, Alan",Reports - Evaluative,2004,NA,Success for All Foundation,NA
R305A040082,ED539695,Effective Programs for Elementary Science: A Best-Evidence Synthesis,"Slavin, Robert E.; Lake, Cynthia; Hanley, Pam; Thurston, Allen",Reports - Evaluative,2012,"Center for Research and Reform in Education. Available from: School of Education Johns Hopkins University. 200 West Towsontown Boulevard, Baltimore, MD 21204. Tel: 410-616-2407; Fax: 410-324-4444; e-mail: thebee@bestevidence.org; Web site: http://education.jhu.edu/research/crre",Center for Research and Reform in Education,http://www.bestevidence.org/word/elem_science_Jun_13_2012.pdf
R305A040082,ED539713,Effective Reading Programs for Spanish Dominant English Language Learners (ELLs) in the Elementary Grades: A Synthesis of Research. Educator's Summary,NA,Reports - Evaluative,2012,"Center for Research and Reform in Education. Available from: School of Education Johns Hopkins University. 200 West Towsontown Boulevard, Baltimore, MD 21204. Tel: 410-616-2407; Fax: 410-324-4444; e-mail: thebee@bestevidence.org; Web site: http://education.jhu.edu/research/crre",Center for Research and Reform in Education,http://www.bestevidence.org/word/ell_read_Jun_14_2012_sum.pdf
R305A040082,ED539714,Effects of Educational Technology Applications on Reading Outcomes for Struggling Readers: A Best Evidence Synthesis,"Cheung, Alan C. K.; Slavin, Robert E.",Reports - Evaluative,2012,"Center for Research and Reform in Education. Available from: School of Education Johns Hopkins University. 200 West Towsontown Boulevard, Baltimore, MD 21204. Tel: 410-616-2407; Fax: 410-324-4444; e-mail: thebee@bestevidence.org; Web site: http://education.jhu.edu/research/crre",Center for Research and Reform in Education,http://www.bestevidence.org/word/tech_strug_read_Jul_18_2012.pdf
R305A040082,ED539723,Reading and Language Outcomes of a Five-Year Randomized Evaluation of Transitional Bilingual Education,"Slavin, Robert E.; Madden, Nancy; Calderon, Margarita; Chamberlain, Anne; Hennessy, Megan",Reports - Research,2010,"Center for Research and Reform in Education. Available from: School of Education Johns Hopkins University. 200 West Towsontown Boulevard, Baltimore, MD 21204. Tel: 410-616-2407; Fax: 410-324-4444; e-mail: thebee@bestevidence.org; Web site: http://education.jhu.edu/research/crre",Center for Research and Reform in Education,http://www.bestevidence.org/word/bilingual_education_Apr_22_2010.pdf
R305A040082,ED537972,Effective Programs in Elementary Mathematics: A Best-Evidence Synthesis. Educator's Summary,NA,Reports - Evaluative,2009,"Center for Data-Driven Reform in Education. Johns Hopkins University, 200 West Towsontown Boulevard, Baltimore, MD 21204. Web site: http://www.cddre.org/",Center for Data-Driven Reform in Education (NJ3),http://www.bestevidence.org/word/elem_math_Mar_11_2009_sum.pdf
R305A040082,EJ737281,A Synthesis of Research on Language of Reading Instruction for English Language Learners,"Slavin, Robert E.; Cheung, Alan","Journal Articles,Reports - Descriptive",2005,"American Educational Research Association. 1230 17th St. NW, Washington, DC 20036-3078. Tel: 202-223-9485; Fax: 202-775-1824; e-mail: subscriptions@aera.net; Web site: http://www.aera.net.",Review of Educational Research,http://www.aera.net/publications/?id=319
R305A040082,EJ844603,Evidence-Based Reform in Education: Promise and Pitfalls,"Slavin, Robert E.","Journal Articles,Opinion Papers",2005,"Mid-Western Educational Research Association. P.O. Box 34421, Chicago, IL 60634-0421. Tel: 419-372-7401; Fax: 419-372-2828; e-mail: mer@bgsu.edu; Web site: http://www.mwera.org",Mid-Western Educational Researcher,http://www.mwera.org/mwer/browse.php
R305A040082,EJ742512,Effective Reading Programs for English Language Learners and Other Language-Minority Students,"Cheung, Alan; Slavin, Robert E.","Journal Articles,Reports - Evaluative",2005,"National Association for Bilingual Education. 1030 15th Street NW, Suite 470, Washington, DC 20005. Tel: 202-898-1829; Fax: 202-789-2866; E-mail: nabe@nabe.org; Web site: http://www.nabe.org/publications.html.",Bilingual Research Journal,http://brj.asu.edu/content/vol29_no2/abstracts.html
R305A050004,ED502283,Issues in Assessing English Language Learners: English Language Proficiency Measures and Accommodation Uses. Literature Review (Part 1 of 3). CRESST Report 731,"Wolf, Mikyung Kim; Kao, Jenny; Herman, Joan; Bachman, Lyle F.; Bailey, Alison; Bachman, Patina L.; Farnsworth, Tim; Chang, Sandy M.",Information Analyses,2008,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED502284,Issues in Assessing English Language Learners: English Language Proficiency Measures   and Accommodation Uses. Practice Review (Part 2 of 3). CRESST Report 732,"Wolf, Mikyung Kim; Kao, Jenny; Griffin, Noelle; Herman, Joan L.; Bachman, Patina L.; Chang, Sandy M.; Farnsworth, Tim",Reports - Evaluative,2008,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED502627,Providing Validity Evidence to Improve the Assessment of English Language Learners. CRESST Report 738,"Wolf, Mikyung Kim; Herman, Joan L.; Kim, Jinok; Abedi, Jamal; Leon, Seth; Griffin, Noelle; Bachman, Patina L.; Chang, Sandy M.; Farnsworth, Tim; Jung, Hyekyung; Nollner, Julie; Shin, Hye Won","Collected Works - General,Reports - Research",2008,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED502628,Templates and Objects in Authoring Problem-Solving Assessments. CRESST Report 735,"Vendlinski, Terry P.; Baker, Eva L.; Niemi, David",Reports - Evaluative,2008,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED502629,Testing One Premise of Scientific Inquiry in Science Classrooms: A Study That Examines Students' Scientific Explanations. CRESST Report 733,"Ruiz-Primo, Maria Araceli; Li, Min; Tsai, Shin-Ping; Schneider, Julie",Reports - Evaluative,2008,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED502631,Using Data and Big Ideas: Teaching Distribution as an Instance of Repeated Addition. CRESST Report 734,"Vendlinski, Terry P.; Howard, Keith E.; Hemberg, Bryan C.; Vinyard, Laura; Martel, Annabel; Kyriacou, Elizabeth; Casper, Jennifer; Chai, Yourim; Phelan, Julia C.; Baker, Eva L.",Reports - Descriptive,2008,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED499421,Accountability and Assessment: Is Public Interest in K-12 Education Being Served? CRESST Report 728,"Herman, Joan L.","Information Analyses,Reports - Evaluative",2007,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED507083,Some Aspects of the Technical Quality of Formative Assessments in Middle School Mathematics. CRESST Report 750,"Phelan, Julia; Kang, Taehoon; Niemi, David N.; Vendlinski, Terry; Choi, Kilchan",Reports - Evaluative,2009,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
R305A050004,ED571793,Towards Individualized Instruction with Technology-Enabled Tools and Methods: An Exploratory Study. CRESST Report 854,"Chung, Gregory K. W. K.; Delacruz, Girlie C.; Dionne, Gary B.; Baker, Eva L.; Lee, John J.; Osmundson, Ellen",Reports - Research,2016,"National Center for Research on Evaluation, Standards, and Student Testing (CRESST). 300 Charles E Young Drive N, GSE&IS Building 3rd Floor, Mailbox 951522, Los Angeles, CA 90095-1522. Tel: 310-206-1532; Fax: 310-825-3883; Web site: http://www.cresst.org","National Center for Research on Evaluation, Standards, and Student Testing (CRESST)",NA
