grant_id,ies_title,program_name,program_topic,topic_area,ies_purpose
R305A120391,A Randomized Efficacy Trial of the Kids in Transition to School (KITS) Program to Improve the School Readiness of Children in Disadvantaged Communities,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to conduct a randomized control trial of the Kids in Transition to School (KITS) program, an intervention to improve the early literacy, prosocial, emotional, and behavior regulation skills of at-risk children. Designed to support at-risk children and their families during the transition period between prekindergarten and kindergarten, the KITS program was developed to provide a high-intensity, short-term intervention that can be delivered to children before and during the transition to kindergarten. Two prior randomized control trials have demonstrated that the KITS program is effective at enhancing the school readiness skills of children in foster care and children with developmental disabilities and behavior problems. One of the two existing efficacy trials was funded through an IES Efficacy and Replication grant. The proposed study will extend the existing evidence base for the KITS program and evaluate the impact of the intervention with a sample of children and families from socioeconomically disadvantaged backgrounds."
R305A120631,Efficacy Trial of MyTeaching Partner-Mathematics and Science Curricula and Implementation Support System,Education Research Grants,Early Learning Programs and Policies,ECE,"There are few opportunities for young children, especially children from low-income backgrounds, to be exposed to mathematics and science content in the home environment or prekindergarten classrooms. At the same time, early childhood educators often lack mathematics and science content knowledge and the confidence needed to provide developmentally appropriate instruction to young children. The MyTeachingPartner-Mathematics and Science (MTP-Mathematics and Science) curricula, previously developed, refined, and pilot tested through an IES Development grant, and accompanying professional development system, were designed to support early childhood educators in delivering mathematics and science instruction in prekindergarten settings, and thus improve young children's knowledge and understanding of mathematics and science concepts. In this project, the researchers will conduct a randomized study to evaluate the impact of the MTP-Mathematics and Science curricula and professional development supports on early childhood teachers' instructional practices and children's early mathematics and science knowledge and skills."
R305A130336,Kidsteps II: Promoting School Readiness Through Social-Emotional Skill Building in Preschool,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to evaluate the impact of the Second Step Early Learning (SSEL) curriculum on young children's end of preschool social skills, emotional regulation, executive functioning, and academic readiness skills, and to explore how improved skills at the end of preschool may affect kindergarten readiness screening and kindergarten performance. This will be the first large-scale trial of the SSEL, which incorporates a dual emphasis on social/emotional and executive functioning skill development. The evaluation of SSEL will contribute to our understanding of the direct short- and long-term impacts of the curriculum on children's school readiness skills, and the effects of the intervention on preschool classroom climate."
R305A140059,Sustaining the Boost: Longitudinal Impacts of the Boston Prekindergarten Program and Variation in Impacts,Education Research Grants,Early Learning Programs and Policies,ECE,"Rigorous evaluations of public prekindergarten programs have confirmed that children enrolled in these programs have higher language, literacy, and mathematics outcomes at kindergarten entry, on average. A prior IES-funded study of the Boston Public Schools (BPS) prekindergarten program extended this evidence base. In a regression discontinuity (RD) study of over 2,000 children, the researchers found that the BPS program had moderate-to-large impacts on children's language, literacy, and mathematics skills, and small impacts on children's emotional development outcomes. Although there have been evaluations of the impacts of public prekindergarten programs on children's school readiness skills, there is a lack of evidence about the longer-term impacts of those programs. The purpose of this project is to conduct a retrospective efficacy study of the short- and medium term impacts of the Boston public prekindergarten program on key child academic and school progress outcomes, measured at kindergarten entry, kindergarten exit, and at the end of first and third grade."
R305A140378,Scalable Approaches for Preparing Early Childhood Teachers: Identifying Costs and Effectiveness of Evidence Based Approaches to Coaching,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to compare the efficacy of two distinct approaches for providing professional development support to child care teachers: remote, video-based coaching and in-classroom coaching. Both approaches seek to increase the quality of child care teachers’ language and literacy instruction and positive responsiveness to children in order to improve children’s school readiness skills. While support has been found for both coaching approaches, each method has its own advantages and disadvantages. Video-based remote coaching has the potential to significantly lower the costs of training teachers and can be scaled at high fidelity across diverse communities. In-class support is more expensive and can be challenging to implement in certain communities; however, it also allows for greater differentiation of demonstrations and co-teaching to bridge the gap between coursework and implementation with children. In this study, researchers will evaluate the impact of a professional development course focused on language and literacy combined with coaching using either video-based or in-classroom coaching on teacher- and child-level outcomes delivered to child care teachers. The relative costs of both coaching models will also be investigated."
R305A140386,Internet Implementation of Empirically Supported Interventions That Can Be Remotely Delivered in Authentic Preschool Programs for Mothers and Teachers: Evaluation of Direct Child and Teacher Outcomes,Education Research Grants,Early Learning Programs and Policies,ECE,"Many states estimate that half of their students arrive at kindergarten already far behind where they need to be in order to succeed. There is growing consensus that high quality preschool experiences can lay a strong foundation for school readiness even among economically disadvantaged children. However, there is a mismatch between the preparation of most early childhood educators and the preparation needed to optimize classroom practices. Support from parents in the home environment can also facilitate optimal developmental trajectories in early childhood and better assure children are ready for kindergarten, particularly with respect to language and self-regulation. The purpose of this project is to evaluate the impact of two web-based preschool interventions on child-, parent-, and teacher-level outcomes. The unique and combined effects of The Early Education Model (eTEEM), a classroom and teacher professional development program, and Play and Learning Strategies (ePALS), a parent program, will be investigated. This study is a replication of an IES efficacy study in which the two interventions used an in-person model to train teachers and parents in responsiveness skills and cognitive instructional approaches specific to both school and home settings. In this study both interventions will be delivered online. This replication will enable the team to examine the cost effectiveness of the paired interventions delivered in-person as compared to a new web-based delivery method, and evaluate if the technology-mediated approach can produce similar effects of practical importance at lower costs. In addition, this replication study will examine additive and synergistic effects of intervening in one setting (school vs. home) or both settings simultaneously; the combined school-home approach is hypothesized to lead to the best likelihood of school readiness for children of lower socio-economic status (SES)."
R305A140698,WORLD Efficacy Study,Education Research Grants,Early Learning Programs and Policies,ECE,"The Words of Oral Reading and Language Development (WORLD) is a shared book reading intervention previously developed, piloted, and refined through an IES Development grant. This intervention is designed to develop and accelerate science and social studies content-related vocabulary and background knowledge in preschool-aged children for later reading with comprehension. WORLD incorporates explicit and implicit shared book-reading strategies (e.g., prompting, elaborating, inferencing) in rich books contexts. These strategies are intended to build sustained word and domain knowledge in young children. Through a scaffolded delivery design, lessons begin with highly specified language and progress to less specific instructional dialogue. This scaffolding is designed to facilitate independent generalization and use of the strategies among teachers. The research team will conduct a randomized study to evaluate the impact of the WORLD intervention on school readiness outcomes for children enrolled in public prekindergarten and Head Start preschool programs."
R305A150049,An Efficacy Trial of the HighScope Preschool Curriculum (HSPC),Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to evaluate the impact of the HighScope Preschool Curriculum (HSPC) on child, teacher, and classroom outcomes in preschool programs serving children from low-income backgrounds. High quality early childhood education experiences can have a positive and lasting impact on children's development and school readiness skills, particularly for children from low-income families. It is important to examine questions about the efficacy of preschool curriculum because curriculum is a key component of program quality. Although HSPC was used in the historic HighScope Perry Preschool Program, the linkage between HSPC and child outcomes has not been evaluated in the current early childhood context or by an external evaluator. This project will include an independent and rigorous evaluation of HSPC. The researchers will evaluate the efficacy of the curriculum, examine how the curriculum is implemented, and determine the mechanisms through which HSPC affects child outcomes. They will evaluate the impact of HSPC on children's pre-academic and social behavioral skills at the end of preschool and on early indicators of school achievement at the end of kindergarten."
R305A150243,Evaluating the Efficacy of Learning Trajectories in Early Mathematics,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study is to evaluate the efficacy of using a learning trajectories approach to mathematics instruction to foster the development of early mathematics skills which are predictive of later school achievement. A learning trajectories approach includes a goal for teaching a mathematics concept, a developmental progression of levels of thinking about the concept, and instructional activities and content for each developmental level. Although research has shown that educational programs based on learning trajectories are effective at promoting academic achievement, no studies have evaluated the degree to which a learning trajectories approach to mathematics instruction improves learning and instruction. The researchers will evaluate whether instruction based on learning trajectories for early mathematics is more efficacious than other instructional approaches for promoting young children's knowledge and understanding of mathematics concepts. The results of this study will provide information about the use of a learning trajectories approach in preschool and kindergarten classrooms."
R305A150431,Effects of the Incredible Years Dinosaur Classroom Prevention Program on Preschool Children's Executive Functioning and Academic Achievement,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to evaluate the combined effects of the Incredible Years Dinosaur Classroom Prevention Program (IY Dina) classroom curriculum and the Incredible Years Teacher Classroom Management (IYT) teacher professional development program on classroom climate and subsequent child social-emotional functioning, executive functioning, and early academic skills. Both cognitive and social-emotional aspects of self-regulation are predictive of school readiness and academic achievement. Research indicates that behavioral and relational components of the classroom climate are critical for creating positive learning environments in which children can realistically manage demands and successfully develop self-regulation skills. Researchers will evaluate the synergistic effects of the two interventions on classroom climate and children's social behavioral and academic skills."
R305A160013,Contexts Inside and Outside of School Walls as Predictors of Differential Effectiveness in Preschool Professional Development,Education Research Grants,Early Learning Programs and Policies,ECE,The goal of this project was to identify variables that create differences in impacts of early childhood professional development interventions. Achieving this aim will support decision making around scaling and refining professional development programs in order to optimize classroom quality and child learning outcomes.
R305A160261,Efficacy of the BrightStart! Program for Promoting Emergent Literacy Skills of PreKindergarten Children at Risk for Reading Difficulties,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to test the efficacy of the Nemours BrightStart! program for prekindergarten children who need additional support in order to enter kindergarten with emergent literacy skills similar to their peers. While practitioners and researchers recognize early childhood as a key period of literacy development, many students who enter kindergarten do not demonstrate the literacy skills necessary to learn to read and write. Research shows that the reading achievement gap is evident before kindergarten and that children who enter kindergarten with lower emergent literacy skills are unlikely to catch up to their peers. BrightStart! is a fully-developed, commercially available small-group literacy program that supplements regular classroom instruction for prekindergarteners and is aimed at improving the emergent literacy skills of students who are at risk for reading difficulties in kindergarten and beyond."
R305A170068,Efficacy of the TELL Curriculum for Preschool Children who are Economically Disadvantaged,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study was to determine whether preschool children from low-income families enrolled in classrooms implementing the Teaching Early Literacy and Language (TELL) curriculum demonstrated higher oral language and pre-reading scores at the end of preschool than their peers enrolled in business-as-usual classrooms. TELL is a universal, Tier 1, whole-class curriculum designed to improve school readiness. Results from development and efficacy studies with children who had developmental speech and/or language impairments showed that enrollment in TELL classrooms resulted in significantly higher oral language and early literacy test scores at the end of preschool than enrollment in control classrooms. In this project, researchers conducted an efficacy replication trial of the TELL curriculum with a sample of typically developing children from economically-disadvantaged families."
R305A170241,The Effects of Promoting Engaging Early Literacy Interactions in Preschool Environments: Literacy 3D,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study was to evaluate the efficacy of the fully developed Literacy 3D (Data-Driven Decision Making) intervention which was developed to increase and sustain prekindergarten teacher's literacy focus by enhancing instruction through professional development combined with ongoing practice-based coaching, data-based feedback, and 10 evidence-based teaching strategies. Preliminary findings from a development project funded by the Office of Special Education Programs showed that teachers' increased use of early literacy practices was associated with positive changes in children's literacy engagement, early literacy skills, and expressive language. In this project, the researchers tested the efficacy of Literacy 3D to improve children's language and literacy skills by increasing teachers' literacy focus."
R305A180004,Causal Effects of the Kindergarten Transition Intervention,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study is to evaluate the impacts of the Kindergarten Transition Intervention (KTI) on children's academic and social-behavioral development during preschool, their adjustment to kindergarten, and their trajectories from preschool to the end of first grade. Kindergarten transition practices are prominent in federal and state policies and there is a need for rigorous studies of the impact of transition practices on children's kindergarten readiness skills. The research team will implement KTI and evaluate the impact of the intervention on child, family, and teacher outcomes. The proposed study addresses a gap in the literature by examining the effects of KTI for children transitioning from center-based preschool programs into kindergarten within the public schools."
R305A180181,A Longitudinal Efficacy Study of the Montessori Preschool Model on Academic and Social-Emotional Outcomes,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study was to investigate the impact of Montessori preschool education on children's kindergarten readiness skills. Although the Montessori model has expanded into public schools and Head Start programs since the early 2000s, no large-scale evaluation of the efficacy of the Montessori preschool model for developing children's academic, social, and emotional skills has been conducted to date. In this project, researchers conducted such an evaluation by comparing early academic and social-emotional outcomes for children who enter Montessori in public schools across the U.S. at age 3 with their peers who participate in other early care and education experiences during that time, at the end of the 4-year-old year."
R305A180293,Promoting School Readiness Through Emotional Intelligence: An Efficacy Trial of Preschool RULER,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study is to evaluate the efficacy of Preschool RULER, a social emotional skills intervention developed with funding from IES. Developing strong social and emotional skills (SE skills) in early childhood is foundational for social and academic success. Researchers will implement the intervention and investigate the impact of Preschool RULER on children's academic and social emotional skills as well as teacher/classroom- and school leader/school-level outcomes. Findings will provide evidence as to the efficacy of Preschool RULER and move the field toward a better understanding of high quality early childhood interventions that promote school readiness."
R305A180374,Efficacy of MindUP on Pre-Kindergarteners' Development of Social-Emotional Learning Competencies and Academic Skills,Education Research Grants,Early Learning Programs and Policies,ECE,"This project evaluated the efficacy of MindUP, a mindfulness-based social emotional learning (SEL) program, on a set of key social emotional learning competencies (i.e., attention skills and social skills) that are associated with kindergarten readiness and later academic success. MindUP provides opportunities for pre-kindergarten children to develop the attention, social, and emotional skills they need to enter kindergarten ready to learn and succeed in school. By implementing activities that target attention and regulatory skills, educators were able to help young children, especially children from disadvantaged backgrounds, build the skills that will support learning and school readiness."
R305A210157,Teaching Together: The Added Value of Tiered School Plus Home Interventions for Young Children At-Risk for Language Difficulties,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to examine the efficacy of the Teaching Together program for pre-kindergarten (pre-k) children who are at risk of academic difficulties due to limited oral language skills. This project is unique in its focus on oral language supports in both the classroom and home settings. In early childhood classrooms serving low-income students, up to 50% of children may exhibit language difficulties, which are associated with long-term challenges for reading and academic success. Yet evidence demonstrates that early language difficulties can be reduced or ameliorated by providing universal/Tier 1 or targeted/Tier 2 language interventions at school and home. Tiered language supports may ameliorate language difficulties for many pre-k children who need increased opportunities to build language skills, including English learners (ELs)."
R305A210506,A Lottery-Based Efficacy Study of the District of Columbia Public Prekindergarten Program,Education Research Grants,Early Learning Programs and Policies,ECE,"While the evidence on short- and longer-term prekindergarten efficacy has grown in recent years, nearly all existing research comes from studies of programs for 4-year-olds. Increasing policy interest in programs for 3-year-olds, persistent disparities in access, and theories and evidence from economics, neuroscience, and developmental psychology highlight the need for new research so that policymakers, practitioners, and the public can make informed choices about investments in children's success. The purpose of this study is to evaluate the District of Columbia's large-scale 3-year-old PreK program with rigorous methods based on the program's centralized admissions lottery."
R305J030120,Building Language for Literacy and Core Knowledge,Education Research Grants,Early Learning Programs and Policies,ECE,"In this project, the researchers proposed to evaluate the efficacy of two widely used prekindergarten-Building Language for Literacy and Core Knowledge-against business-as-usual. Through their evaluation, the researchers aimed to produce findings about the curricula and the different levels of implementation necessary for student learning. They were also to provide data about how well specific kinds of students learn in the various conditions."
R305F050006,Efficacy of Conversational Responsiveness Preschool Intervention,Field Initiated Evaluations of Education Innovations,NA,ECE,"In this study, the researchers proposed to evaluate the Hanen approach, a research-based technique for improving preschool teachers' interactions with children. The intervention was designed to improved instructional quality, thereby fostering children's language, literacy, and social skills in both the short and long term. In the early 2000s, research indicated that the academic and social problems of disadvantaged students begin well before they enter elementary school, so a strategy for addressing such problems was to train preschool teachers to apply evidence-based solutions in the classroom. At the end of the project, the researchers provided evidence as to whether providing the professional development to preschool teachers in one state improved instructional quality children's cognitive achievements and children's social skills."
R305F050245,"Promoting School Success in Children Attending Pre-K Programs in Poor, Urban Schools",Field Initiated Evaluations of Education Innovations,NA,ECE,"The purpose of this project was to test ParentCorps, a universal, preventive school- and family-based mental health program for pre-kindergarten children from poor, urban communities. The program aims to prevent conduct problems and improve academic achievement among children by promoting effective parenting and teaching strategies and parent-school involvement at the transition to kindergarten."
R305J020014,Evaluation of Pre-Kindergarten Curricula in Head Start and Public School Settings,Preschool Curriculum Evaluation Research,NA,ECE,This project will evaluate the effectiveness of the two language/literacy curricula for pre-kindergarten children in Head Start and public school pre-K programs. Complementary research will investigate the conditions under which each curriculum achieves the greatest impact on children's developmental outcomes.
R305J020020,Focus in Early Childhood Curricula: Helping Children Transition to School,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the research team planned to evaluate the effects of a developmental model curriculum (Creative Curriculum 3rd ed.) and an educational model curriculum (Bright Beginnings) with children ages 4 and 5 who are predominately poor, rural, and Caucasian. Also, the researchers planned to complete complementary research focused on the level of children's engagement in literacy-based classroom activities, language development, self-regulation, narrative comprehension, and concepts about numeracy. The researchers expected that the educational model curriculum would lead to greater literacy outcomes and that the developmental model curriculum would lead to greater progress on measures of self-regulation and motivation."
R305J020026,A Longitudinal Study of the Effects of a Pre-Kindergarten Mathematics Curriculum on Low-Income Children's Mathematical Knowledge,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the researchers evaluated the short-term and long-term effects of the prekindergarten mathematics curriculum on low-income children in California and New York."
R305J020027,Impact of the Project Approach on Children's School Readiness and School Achievement,Preschool Curriculum Evaluation Research,NA,ECE,"The purpose of this study is to determine if The Project Approach enhances young children's school readiness during preschool, and their subsequent school achievement in kindergarten and first grade. Complementary research focuses on the development of children's academic and metacognitive skills, as well as the experiences of teachers going through a professional development experience."
R305J020039,Evaluation of the Effects of Creative Curriculum on Classroom Quality and Child Outcomes in Head Start,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the researchers examined the effectiveness of Creative Curriculum (4th ed.) as an intervention with low-income children enrolled in Head Start. Additionally, the researchers planned to investigate the impact of Creative Curriculum on the developmental outcomes of children with special needs through complementary research."
R305J020040,Evaluation of the Early Literacy and Learning Model (ELLM): a Curriculum and Instructional Support System,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the researchers evaluated the effectiveness of the preschool intervention, Early Literacy and Learning Model (ELLM), on literacy achievement of children from low-income families during preschool and their subsequent achievement in kindergarten and first grade. This research aimed to explore the relationship between child, teacher, and instructional environment characteristics and the impact of ELLM teacher support infrastructure on preschool teachers' classroom practices, efficacy, retention rates, and job satisfaction."
R305J020051,Granite Ladders: An Experimental Evaluation of an Early Literacy Curriculum for New Hampshire's Preschoolers,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the research team examined the effects of an early literacy preschool curriculum, Ladders to Literacy, used as a supplement to Creative Curriculum on the pre-reading skills of young children living in poverty in New Hampshire. Additionally, the researchers examined differences in outcomes for children in urban and rural classrooms, half-day and full-day classes, English language learners and English-fluent learners, and children with disabilities."
R305J030037,A Longitudinal Study of the Effectiveness of a Pre-K Multisensory Literacy Curriculum,Preschool Curriculum Evaluation Research,NA,ECE,"In this study, researchers proposed to examine the efficacy of the Ready, Set, Leap! (RSL) literacy curriculum for with at-risk pre-k children. The RSL curriculum focuses on important literacy skills that are essential to reading success in the first grade. It was an interactive, multi-sensory curriculum that was based upon research in literacy and early childhood education. Preliminary research at the time found that it improved literacy learning outcomes for young children."
R305J030084,Evaluation of the Language-Focused Curriculum,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the researchers evaluated the efficacy of the Language-Focused Curriculum on preschool children's learning. The Language-Focused Curriculum was designed to improve at-risk children's language development. At the time of this project, evidence suggested that early language delays could lead to later problems in literacy skills and social relations. This research team investigated whether The Language-Focused Curriculum fostered children's oral language development, thereby reducing the chances of later language and social difficulties."
R305J030093,Evaluating the Effectiveness of Preschool Literacy Curriculum for Children At-Risk,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the researchers aimed to evaluate the efficacy of two preschool curricula that emphasize building beginning reading skills-Open Court Pre-K/DLM Express and Literacy Express-against business-as-usual. In addition, the investigators proposed to evaluate the effects of using standard workshops as the method of teacher training with the curricula and business-as-usual compared to workshops with follow-up in-class coaching. The researchers' goal was to determine whether the curricula and teacher training strategies lead to different learning results for students with various characteristics."
R305J030103,Project Construct: A Catalyst for Early Achievement,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the research team proposed to assess the efficacy of Project Construct, a curriculum shaped by research about children's thinking. Project Construct was based on the idea that children actively construct their own knowledge through ""hands-on, minds-on"" learning experiences. In this study, the investigators intended to examine the impact of Project Construct on students' general knowledge, language, mathematical, and socio-emotional development."
R305J030138,Randomized Evaluation of Curiosity Corner With Follow-Up Into SFA and Control Elementary Programs,Preschool Curriculum Evaluation Research,NA,ECE,"In this project, the researchers aimed to determine the efficacy of combining Curiosity Corner, a comprehensive preschool program, and a subsequent comprehensive school reform program called Success for All for students in kindergarten and first grade. Curiosity Corner was a program that provided an integrated curriculum, professional development, and materials for serving at-risk preschool children. Success for All was an extensively evaluated program for older children that used systematic phonics, tutoring, and family support to ensure children's reading success. The researchers were supposed to evaluate whether children in full-day programs serving mostly low-income families benefit from Curiosity Corner in preschool classes, followed by Success for All in kindergarten and first grade."
R324A080026,A Randomized Efficacy Trial of the Kids in Transition to School (KITS) Program for Children with Developmental Disabilities and Behavioral Problems,Special Education Research Grants,Early Intervention and Early Learning,ECE,"Children with disabilities often experience a gap in services during the summer before kindergarten. During this time, they may lose school readiness skills that would have facilitated their transition to early elementary school. This gap in services is a particular problem for children with co-occurring developmental disabilities and behavior problems. These children are likely to have low levels of school readiness and are at risk for academic failure. In addition, their behavior and social problems are likely to interfere with school adjustment. In this project the researchers will evaluate an intervention designed to fill the gap in services as children transition from preschool to kindergarten and enable children to experience a smoother transition into kindergarten. They will conduct an efficacy evaluation of a short-term intensive intervention, Kids in Transition to School, for improving social-emotional, early literacy, and school readiness skills of young children with developmental disabilities and behavior problems."
R324A080037,Sit Together and Read: Early Childhood Special Education,Special Education Research Grants,Early Intervention and Early Learning,ECE,"Children who exhibit primary language impairment in preschool often fail to become good readers. In fact, more than half of these children exhibit a reading disability in second grade. Reading proficiently is a vital skill for academic success and gainful employment. Current practices for preschoolers with language impairment focus on teaching language skills such as vocabulary or grammar. These traditional practices are largely inadequate for improving these children's pre-literacy skills. Therefore, alternative practices, such as print-referencing, need to be tested to determine whether they improve the language and pre-reading skills of preschool children with language impairment.

Researchers are addressing this need by examining the efficacy of a fully-developed, print-referencing intervention for improving pre-reading skills of preschoolers who have a primary language impairment and are educated in early childhood special education classrooms. They will also determine the extent to which children's pre-reading skills are accelerated by combined use of print-referencing in the classroom by teachers and at home by parents."
R324A080071,"Establishing the Efficacy of the ""Special Friends"" Project",Special Education Research Grants,Early Intervention and Early Learning,ECE,"Successful peer interactions lead to positive social and emotional development. Children with disabilities engage in social interaction with peers less frequently than typically developing children do. Children with disabilities who fail to develop positive social relationships with peers are at elevated risk for social maladjustment and academic failure. In addition, they are at great risk of being rejected by their peers. Therefore, effective interventions that can be used in education settings to engage children with disabilities in social interactions with peers, improve social outcomes of children with disabilities, and support acceptance are needed.

Researchers are evaluating the efficacy of a class-wide kindergarten program called Special Friends. Special Friends is designed to improve social outcomes of children with disabilities. The purpose of this study is to test the efficacy of Special Friends as a class-wide approach for promoting social acceptance and friendships among kindergarteners with and without disabilities."
