grant_id,ies_title,project_type,design,is_rct_final,design_signal,pre_wwc_call,in_wwc,wwc_designs,wwc_is_rct,rct_evidence,eric_rct_desc,eric_qed_desc,hit_title,hit_purpose,hit_abstract,hit_eric,hit_nonrct,is_center,n_abstracts,is_trial_design
R305A180374,Efficacy of MindUP on Pre-Kindergarteners' Development of Social-Emotional Learning Competencies and Academic Skills,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE
R305E040085,Assessing the Impact of Principals' Professional Development: An Evaluation of the National Institute for School Leadership,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,82,TRUE
R305E090005,A Proposal to Measure the Impact of Indiana's System of Diagnostic Assessments on Student Achievement Outcomes,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,TRUE
R305F050051,An Experimental Study of the Effectiveness of Instructional Consultation Teams,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305F050284,Evaluation of Efficacy of CBC for Addressing Disruptive Behaviors of Children at Risk for Academic Failure,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,TRUE
R305F100007,Reading for Understanding Across Grades 6 through 12: Evidence-Based Argumentation for Disciplinary Learning,Development and Innovation,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,33,TRUE
R305H170042,Strengthening School Readiness through Pre-K for All: A University-District Partnership,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,TRUE
R305K050045,Classroom Connectivity in Promoting Mathematics and Science Achievement,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE
R324A080071,"Establishing the Efficacy of the ""Special Friends"" Project",Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,TRUE
R324A090044,Efficacy Trial of Carescapes: Promoting Social Development in Home-based Child Care,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,purpose + eric,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,TRUE
R324A100215,Examining the Efficacy of Banking Time: A Teacher-Child Early Intervention to Improve Children's Emotional and Behavioral Development,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,12,TRUE
R324A110183,Relative Effectiveness of Contrasting Approaches to Response-Contingent Learning Interventions,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,TRUE
R324A120027,Evaluating the Efficacy of the School-based Social Competence Intervention for Adolescents (SCI-A) with High Functioning Autism,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R324A120097,A Randomized Controlled Trial of Prevent-Teach-Reinforce for Young Children,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,title + abstract + eric,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,5,TRUE
R324A120260,On the Way Home: Promoting Transition Outcomes in Youth with EBD or LD—An Efficacy and Replication Study,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,TRUE
R324A120291,Joint Attention Mediated Learning Intervention for Toddlers with Autism Spectrum Disorders and Their Families,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,TRUE
R324E060088,Improving Language and Literacy Outcomes for Preschool Children at Highest Risk for Reading Problems,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,12,TRUE
R305F100005,Developing Reading Comprehension Assessments Targeting Struggling Readers,Exploration,Other,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,62,FALSE
R305A090150,National Randomized Controlled Trial Study of SRA/McGraw-Hill Open-Court Reading Program,Scale-Up Evaluations,Scale-up,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,title + abstract + eric,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE
R305A110297,Scale-up Evaluation of Reading Intervention for First Grade English Learners,Scale-Up Evaluations,Scale-up,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE
R305G040145,Breakthrough to Literacy in the Chicago Public Schools: A Large Scale Evaluation of the Effectiveness of a Reading Comprehension Intervention,Scale-Up Evaluations,Scale-up,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,TRUE
R305A040082,Center for Data-Driven Reform in Education,Efficacy,Efficacy,TRUE,RCT (WWC),non-RCT,TRUE,RCT,TRUE,purpose + abstract + eric,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,423,TRUE
R305A050004,"Center for Research on Evaluation, Standards, and Student Testing (CRESST)",Development and Innovation,Efficacy,TRUE,RCT (WWC),non-RCT,TRUE,QED+RCT,TRUE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,TRUE
R305A070324,"Efficacy of Sound Partners Supplemental Tutoring for ELL Students, Grades K-1",Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,13,TRUE
R305A080133,"Efficacy and Replication Research on the Intelligent Tutoring System for the Structure Strategy—Rural and Suburban Schools Grades 4, 5, 7, and 8",Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A080196,Efficacy of Earobics Step I in English Language Learners and Low SES Minority Children,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,TRUE
R305A080253,The Chicago Social and Character Development Trial: Extension to Grade 8,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,51,TRUE
R305A080326,A Randomized Controlled Trial of the Combination of Two Preventive Interventions,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + purpose + abstract + eric,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,24,TRUE
R305A080464,Closing the Achievement Gap in Middle School Mathematics Utilizing Stanford University's Education Program for Gifted Youth Differentiated Mathematics Program,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE
R305A080479,Fostering Fluency With Basic Addition and Subtraction,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,TRUE
R305A080512,Testing the Efficacy of INSIGHTS in Enhancing the Academic Learning Context,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract + eric,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,23,TRUE
R305A080627,An Efficacy Trial of Robust Vocabulary Instruction,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A080631,Increasing Opportunities-to-Learn in Urban Middle Schools,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,11,TRUE
R305A080696,A Randomized Control Trial to Assess the Efficacy of the Balanced Leadership Program,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + abstract + eric,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,41,TRUE
R305A080697,Closing the SES Related Gap in Young Children's Mathematical Knowledge,Efficacy,Efficacy,TRUE,RCT (WWC),unknown,TRUE,RCT,TRUE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,219,TRUE
R305A090212,Improving School Readiness of High-Risk Preschoolers: Combining High-Quality Instructional Strategies with Responsive Training for Teachers and Parents,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,TRUE
R305A090438,"The Social Skills Improvement System Classwide Intervention Program: Social, Behavioral, and Academic Outcomes in Elementary School",Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,38,TRUE
R305A090527,Spatial Temporal Mathematics at Scale: An Innovative and Fully-Developed Paradigm to Boost Math Achievement Among All Learners,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,TRUE
R305A100066,Evaluating the Long-Term Effects and the Costs of Two Community College Interventions,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,TRUE
R305A100342,Evaluation of a Video-Based Modeling Program to Promote Effective Teacher Classroom Management Practices,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,58,TRUE
R305A100367,"Increasing Adolescent Engagement, Motivation, and Achievement: Efficacy of a Web-Based, Teacher Professional Development Model",Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,QED+RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,98,TRUE
R305A100568,Efficacy of Rich Vocabulary (RVOC) Instruction for Classrooms,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract + eric,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE
R305A100654,The Targeted Reading Intervention: A Web-Based Professional Development Program Targeting K-1 Classroom Teachers and Their Struggling Readers,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,20,TRUE
R305A100670,Improving the Teaching and Learning of English Language Learners: The Instructional Conversational Model,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,TRUE
R305A110085,Follow-Up to the Study of the Efficacy of North Carolina's Early College High School Model,Efficacy,Efficacy,TRUE,RCT (WWC),unknown,TRUE,RCT,TRUE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,TRUE
R305A110136,An Efficacy Trial of Two Interventions Designed to Reduce Stereotype Threat Vulnerability and Close Academic Performance Gaps,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,11,TRUE
R305A110149,Assessing the Efficacy of Online Credit Recovery in Algebra I for At-Risk Ninth Graders,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,19,TRUE
R305A110204,Performance-Based Scholarship Demonstration — An Alternative Financial Aid Program to Incentivize Academic Success,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,20,TRUE
R305A110358,Learning of Ratio and Proportion Problem-Solving Using Schema-Based Instruction: Efficacy and Sustainability,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,8,TRUE
R305A110483,Numbers Plus Efficacy Study,Efficacy,Efficacy,TRUE,RCT (WWC),unknown,TRUE,RCT,TRUE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE
R305A110809,Promoting College Enrollment among Disadvantaged Students: A Randomized Controlled Trial of Two Low-Cost Interventions,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + purpose + abstract + eric,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A120125,An Efficacy Study of Online Mathematics Homework Support: An Evaluation of the ASSISTments Formative Assessment and Tutoring Platform,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,43,TRUE
R305A120262,A Randomized Study of the Efficacy of a Two-Year Mathematics Intervention for At-Risk Pre-Kindergarten and Kindergarten Students,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + abstract + eric,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE
R305A120269,"Why are Some Charter Schools More Effective than Others? Econometric Methods and Empirical Evidence from Massachusetts, Michigan, and Texas",Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,81,TRUE
R305A120631,Efficacy Trial of MyTeaching Partner-Mathematics and Science Curricula and Implementation Support System,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,TRUE
R305A120677,Getting Students to the Finish Line: An Efficacy Study of a Ninth Grade Early Warning Indicator Intervention,Efficacy,Efficacy,TRUE,RCT (WWC),unknown,TRUE,RCT,TRUE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE
R305A120781,Replicating the CGI Experiment in Diverse Environments,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,11,TRUE
R305A130011,Efficacy of an Organizational Skills Intervention for Middle School Students with ADHD,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,TRUE
R305A130044,Testing the Promise: A Randomized Trial of a Promise College Scholarship for Urban Public School Students,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + purpose + abstract + eric,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A130125,Using Computer-Assisted Instruction to Accelerate Students through Developmental Math: An Impact Study of Modularization and Compression,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE
R305A130143,Evaluation of a Classroom Management Training Program for Middle School Teachers,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,16,TRUE
R305A130336,Kidsteps II: Promoting School Readiness Through Social-Emotional Skill Building in Preschool,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,TRUE
R305A130400,Efficacy of an Integrated Digital Elementary School Mathematics Curriculum,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A130700,Efficacy of Supplemental Early Vocabulary Connections Instruction for English Language Learners,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,TRUE
R305A140059,Sustaining the Boost: Longitudinal Impacts of the Boston Prekindergarten Program and Variation in Impacts,Efficacy,Efficacy,TRUE,RCT (WWC),non-RCT,TRUE,RCT,TRUE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,TRUE
R305A140121,Digital Messaging to Improve College Enrollment and Success,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,eric,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE
R305A150058,Preventing Dropout Among At-Risk Youth: A Study of Project Goal with English Learners,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,TRUE
R305A150108,Word Learning Strategies: A Program for Upper-Elementary Readers,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,eric,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE
R305A150207,Improving the Educational and Social Emotional Functioning of College Students with ADHD,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE
R305A150221,Testing the Efficacy of Double Check: A Cultural Proficiency Professional Development Model in Middle Schools,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,24,TRUE
R305A150243,Evaluating the Efficacy of Learning Trajectories in Early Mathematics,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,TRUE
R305A150407,Examining the Efficacy of Differential Levels of Professional Development for Teaching Content Area Reading Strategies,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,TRUE
R305A150429,Digital Scaffolding for English Language Arts,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE
R305A150477,Early College High Schools at Scale: Probing Impacts and Generalizability with a Quasi-Experiment Benchmarked Against an RCT,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + purpose + abstract + eric,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE
R305A160060,A Multisite Randomized Controlled Trial (RCT) of Descubriendo la Lectura (DLL) Topic Area: English learners,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + abstract + eric,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A160109,Efficacy Evaluation of Zoology One: Kindergarten Research Labs,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,TRUE
R305A160111,Efficacy of a Brief Intervention Strategy for School Mental Health Clinicians,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,TRUE
R305A160140,AIR Early College Follow-Up Efficacy Study,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7,TRUE
R305A160242,Supporting Strategic Writers: Effects of an Innovative Developmental Writing Program on Writing and Reading Outcomes,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,eric,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE
R305A160261,Efficacy of the BrightStart! Program for Promoting Emergent Literacy Skills of PreKindergarten Children at Risk for Reading Difficulties,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,TRUE
R305A160263,An Efficacy Study of Interleaved Mathematics Practice,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,TRUE
R305A160273,Assessing the Long-Term Efficacy and Costs of the City University of New York's (CUNY'S) Accelerated Study in Associate Programs (ASAP),Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,19,TRUE
R305A170111,Randomized Controlled Trial of the Supporting Knowledge in Language and Literacy (SKILL) Program for Children who are At-Risk for Language and Literacy Difficulties,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,title + abstract + eric,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,5,TRUE
R305A170152,Assessing the Efficacy of Online Credit Recovery on Student Learning and High School Graduation,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A170250,"P-TECH 9–14 Schools: An Impact, Implementation and Cost Study",Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,eric,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE
R305A170471,Assessing the Efficacy and Implementation of City Connects: A Systemic Approach to Student Support,Efficacy,Efficacy,TRUE,RCT (WWC),RCT,TRUE,RCT,TRUE,eric,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,TRUE
