grant_id,ies_title,project_type,design,triage,confidence,rationale
R305A100289,Learning Leadership: Kernel Routines for Instructional Improvement,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A100583,An Efficacy Study of Project GLAD,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A100625,"The Efficacy of Personal Response Systems (Clickers) as Learning Tools: A Multidisciplinary, Large-Scale, Empirical Evaluation",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A100995,A Multisite Evaluation of the Implementation and Impact of Supplemental Educational Services,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A110176,Impact of the WRITE Program on English Learner Achievement and Teacher Instructional Practice,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A110397,Longitudinal Follow-up of Successful Parent/Child Intervention in Pre-school Children At Risk for School Failure,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A110398,Training Attention in At-risk Preschoolers: Expansion of our Successful Program to a Wider Population within Head Start,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A110515,Making Sense of SCIENCE: Efficacy Study of a Professional Development Series for Middle School Science Teachers,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A120184,Investigation of the Efficacy of the JUMP Program of Mathematics Instruction,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A130195,GlobalEd 2,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A140221,Efficacy of ALEKS for Improving Student Algebra Achievement,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A140386,Internet Implementation of Empirically Supported Interventions That Can Be Remotely Delivered in Authentic Preschool Programs for Mothers and Teachers: Evaluation of Direct Child and Teacher Outcomes,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A140559,Testing the Integration of an Empirically-supported Teacher Consultation Model and a Social-emotional Learning and Literacy Intervention in Urban Elementary Schools,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150049,An Efficacy Trial of the HighScope Preschool Curriculum (HSPC),Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150057,Efficacy and Replication Trial of the Individualized Adaptive ITSS with 4th and 5th Grade Students in High Poverty Schools,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150200,Embedding Working Memory Training within Math Problem Solving Intervention,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150253,A Scalable Growth Mindset Intervention to Raise Achievement and Persistence in Community College,Development and Innovation,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150431,Effects of the Incredible Years Dinosaur Classroom Prevention Program on Preschool Children's Executive Functioning and Academic Achievement,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150438,Efficacy of RENEW for High School Students with Emotional and Behavioral Challenges,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A150517,Evaluation of a Self-Monitoring Training Program for Elementary School Students,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A160082,RAP Club: Improving Mental Health and School Performance in Urban Eighth Graders,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A160255,Investigating the Efficacy of a Web-Based Early Reading Intervention Professional Development Program for K-1 English Learners,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A170044,Evaluation of the KinderTEK iPad Math Program,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A170074,Efficacy of the Connected Chemistry Curriculum,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A170160,"It's Worth It! Securing Persistence, Performance and Progress within Postsecondary Gateway Science Courses through Utility Value Interventions",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A170241,The Effects of Promoting Engaging Early Literacy Interactions in Preschool Environments: Literacy 3D,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180050,Testing the Efficacy of Zoo U for Improving Children's Social and Emotional Outcomes,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180060,Efficacy Trial of Text Structure Strategy Instruction on the Web for Spanish-Speaking English Learners (SWELL) in Grades 4 and 5,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180182,A Conceptual Replication of BEST in CLASS: An Efficacy Study of BEST in CLASS-Elementary,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180227,Evaluating Incentives for Full-time Enrollment at California Community Colleges,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180241,Efficacy Replication Study of the Impact of MyTeachingPartner-Secondary (MTP-S),Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180293,Promoting School Readiness Through Emotional Intelligence: An Efficacy Trial of Preschool RULER,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A180377,Efficacy of Viridis Learning Tool: A Technology-Based Approach to Advising and Job Matching,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A190168,PAWS: Efficacy,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A190521,"Improving Low-Income Students' Odds of Being ""On-Track"" and College Ready in Chicago Public Schools: The Respective Roles of Child Self-Regulation and Preschool vs. High School Intervention",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A200035,Efficacy of a Selective Intervention to Improve Middle School Students' Subjective Well-Being,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A200297,Evaluation of a Web-Based Classroom Management Program to Promote Effective Classroom Management Practices Among Early Career Teachers,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A200307,Choice and Information: The Impact of Technology-Based Career Advising Tools on High School Students' CTE Choices and Academic Performance,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A200436,Fostering Productive Parent Engagement at School Entry,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A210157,Teaching Together: The Added Value of Tiered School Plus Home Interventions for Young Children At-Risk for Language Difficulties,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A210269,"Examining the Efficacy, Predictive Power, and Cost Effectiveness of the Diagnostic Assessment and Achievement of College Skills",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A210462,Efficacy of a Peer-Delivered Intervention for High School Students with ADHD,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305B070354,Diagnostic Embedded Classroom Assessment—An Efficacy Study,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305B077307,Reading Intervention with Spanish-Speaking Students: Maximizing Instructional Effectiveness in English and Spanish,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305F050006,Efficacy of Conversational Responsiveness Preschool Intervention,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305F050256,An Experimental Design Evaluation of Full-Day Kindergarten,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305F050274,An Evaluation of the SOURCE (Student Outreach for College Enrollment) Program: An Intervention to Promote College Application and Enrollment Among Urban Youth,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305G030140,Instruction Of Reading Comprehension: Cognitive Strategies Or Cognitive Engagement,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305G040089,"Embedding Knowledge-Focused Reading Comprehension Strategies in Cumulative Content-Area Instruction in Grades 3-4-5: An Assessment of Immediate, Transfer, and Long-Term Impact on Reading Achievement",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305J020020,Focus in Early Childhood Curricula: Helping Children Transition to School,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305J020040,Evaluation of the Early Literacy and Learning Model (ELLM): a Curriculum and Instructional Support System,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305J020051,Granite Ladders: An Experimental Evaluation of an Early Literacy Curriculum for New Hampshire's Preschoolers,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305J030037,A Longitudinal Study of the Effectiveness of a Pre-K Multisensory Literacy Curriculum,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305J030103,Project Construct: A Catalyst for Early Achievement,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305K050050,Math Pathways and Pitfalls Lessons for K-7 Students: Improving Mathematics Achievement for English Language Learners,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305L030173,Love in a Big World,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305M030090,Identifying Key Components of Effective Professional Development in Reading for First-Grade Teachers and Their Students,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305M030099,Mastering Reading Instruction: A Professional Development Project for First Grade Teachers,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305M050072,Examining the Efficacy of Two Models of Preschool Professional Development in Language and Literacy,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305M050223,Replication and Outcomes of the Teaching SMART® Program in Elementary Science Classrooms,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305R220024,"Efficacy of Sound Partners Supplemental Tutoring for ELL Students, Grades K-1",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305T210046,Just Discipline and Effective Restorative Practices: Assessing the Potential of Design Innovations and Implementation Science as Catalysts for Sustainable School Transformation,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305W030036,"The New 3R's – Reading, Resilience, and Relationships in After-School Programs",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A090091,"Improving Social-Communication, Literacy, and Adaptive Behaviors for Young Children with Autism Spectrum Disorders",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A110053,Efficacy of the Interactive Strategies Approach-Extended as a Small Group Intervention for Intermediate Grade Struggling Readers,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A120169,A Summer Preparatory Program for Middle and High School Students with ADHD,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A120363,Enhancing Early Learning for Infants with Disabilities: A Responsive Parenting Intervention,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A160042,Project AIM: Algebra-readiness Intervention Modules for Middle School Students with Mathematics Difficulties,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A180221,Testing the Efficacy of Reading RULES: A Tier 1 and Tier 2 Intervention for First-Grade Children with Decoding and Comprehension Difficulties,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A190046,Evaluating the Efficacy of a Daily Check-in/Check-out Intervention for Students At Risk for Emotional and Behavioral Disorders,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A190145,Liberate,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A190177,EMT en Español: Comprehensive Early Intervention to Support School Readiness Skills for Spanish-Speaking Toddlers with Language Delays,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A190239,Enhancing IEPs of Children with ADHD Using Daily Report Cards: An Efficacy Trial,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A190240,An Efficacy Trial to Evaluate Supporting Paraprofessionals by Advancing Reading Intervention Knowledge and Skill (SPARK),Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A200007,"Combining the Self-Determined Learning Model of Instruction and Peer Supports: Examining the Impact on Academic, Social, and Functional Outcomes for Students With Autism Spectrum Disorders",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A200063,Initial Efficacy Evaluation of the CW-FIT Middle School Program: Improving Academic Engagement and Outcomes for Middle School Students,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A200154,Modular Approach for Autism Programs in Schools (MAAPS),Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A210266,Project PRIME2: Planning Realistic Intervention implementation and Maintenance by Educators,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324A220215,Reading Enhancements for Students With Autism Spectrum Disorders (Project READ): A Reading Comprehension Intervention,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324N190012,Evaluating the Impact of Integrated Behavior and Reading Multi-Tiered Systems of Support in Elementary Schools,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R324S060043,Project Success: Improving the Educational Outcomes of Youth with Disabilities in Foster Care,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A100369,Causes and Consequences of Public Subsidies in Higher Education: Evidence from Community College Districts,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A100971,Ready or Not? California's Early Assessment Program and the Transition to College,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A110609,State Merit Aid Program and Student College Choice and Success: Evaluating the Efficacy of Florida's Bright Futures Program,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A110967,"The Impact of Incentives to Recruit and Retain Teachers in ""Hard-to-Staff"" Subjects: An Analysis of the Florida Critical Teacher Shortage Program",Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A120466,Doubling Up? The Impact of Remedial Algebra on Students' Long-Run Outcomes,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A140363,On the Importance of School Facilities Spending to School Outcomes,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A160223,The Impact of New Mexico's Teacher Evaluation System on Student Academic Outcomes,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A170288,Heterogeneous Effects of English Learner Reclassification on Achievement Trajectories,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305E090003,Evaluation of Core Knowledge Charter Schools in Colorado,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
