doi,metadata_source,publication_title,publication_source_title,publication_type,publication_publisher,publication_date,publication_year,metadata_url,metadata_status,metadata_error
10.1080/15377903.2014.896297,openalex,Classroom Behavior of Participants with ADHD Compared with Peers: Influence of Teaching Format and Grade Level,Journal of Applied School Psychology,article,NA,2014-07-03,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F15377903.2014.896297,success,NA
10.1080/15548732.2013.845644,openalex,Assessing Restrictiveness: A Closer Look at the Foster Care Placements and Perceptions of Youth With and Without Disabilities Aging Out of Care,Journal of Public Child Welfare,article,NA,2013-11-01,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F15548732.2013.845644,success,NA
10.1080/15700763.2022.2058963,openalex,Staffing for School Turnaround in Rural Settings,Leadership and Policy in Schools,article,NA,2022-04-12,2022,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F15700763.2022.2058963,success,NA
10.1080/19345747.2010.488716,openalex,Evaluating the Effectiveness of <i>Read Well Kindergarten</i>,Journal of Research on Educational Effectiveness,article,NA,2010-12-27,2010,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F19345747.2010.488716,success,NA
10.1080/19345747.2020.1814464,openalex,The Next Generation of State Reforms to Improve their Lowest Performing Schools: An Evaluation of North Carolina’s School Transformation Intervention,Journal of Research on Educational Effectiveness,article,NA,2020-09-28,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F19345747.2020.1814464,success,NA
10.1086/663283,openalex,Data in Practice: Conceptualizing the Data-Based Decision-Making Phenomena,American Journal of Education,article,NA,2012-01-31,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1086%2F663283,success,NA
10.1086/686250,openalex,Effect of a Multiyear Intervention on Science Achievement of All Students including English Language Learners,The Elementary School Journal,article,NA,2016-05-17,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.1086%2F686250,success,NA
10.1086/692914,openalex,Error Patterns with Fraction Calculations at Fourth Grade as a Function of Students’ Mathematics Achievement Status,The Elementary School Journal,article,NA,2017-08-07,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1086%2F692914,success,NA
10.1086/730082,openalex,Conceptual Replications of the Teacher Study Group Approach to Professional Development in Vocabulary,The Elementary School Journal,article,NA,2024-05-20,2024,https://api.openalex.org/works?filter=doi:https://doi.org/10.1086%2F730082,success,NA
10.1097/dbp.0000000000000009,openalex,Neurofeedback and Cognitive Attention Training for Children with Attention-Deficit Hyperactivity Disorder in Schools,Journal of Developmental & Behavioral Pediatrics,article,NA,2014-01-01,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1097%2Fdbp.0000000000000009,success,NA
10.1097/tld.0000000000000104,openalex,Assessing Comprehension in Kindergarten Through Third Grade,Topics in Language Disorders,article,NA,2016-10-01,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.1097%2Ftld.0000000000000104,success,NA
10.1097/tld.0b013e3181c29db0,openalex,How Often and How Much?,Topics in Language Disorders,article,NA,2009-10-01,2009,https://api.openalex.org/works?filter=doi:https://doi.org/10.1097%2Ftld.0b013e3181c29db0,success,NA
10.1111/j.1467-8624.2011.01665.x,openalex,Peer Effects in Preschool Classrooms: Is Children’s Language Growth Associated With Their Classmates’ Skills?,Child Development,article,NA,2011-10-25,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1111%2Fj.1467-8624.2011.01665.x,success,NA
10.1111/j.1745-9133.2009.00555.x,openalex,"The impact of after‐school programs on the routine activities of middle‐school students: Results from a randomized, controlled trial*",Criminology & Public Policy,article,NA,2009-05-01,2009,https://api.openalex.org/works?filter=doi:https://doi.org/10.1111%2Fj.1745-9133.2009.00555.x,success,NA
10.1111/j.1750-8606.2011.00201.x,openalex,The Importance of Executive Function in Early Science Education,Child Development Perspectives,article,NA,2011-08-31,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1111%2Fj.1750-8606.2011.00201.x,success,NA
10.1126/science.1224648,openalex,Neighborhood Effects on the Long-Term Well-Being of Low-Income Adults,Science,article,NA,2012-09-20,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1126%2Fscience.1224648,success,NA
10.1145/3290605.3300726,openalex,Time to Scale,NA,article,NA,2019-04-29,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1145%2F3290605.3300726,success,NA
10.1177/0009922810397887,openalex,Computer-Based Attention Training in the Schools for Children With Attention Deficit/Hyperactivity Disorder: A Preliminary Trial,Clinical Pediatrics,article,NA,2011-05-10,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F0009922810397887,success,NA
10.1177/0014402914551742,openalex,Impact of Enhanced Anchored Instruction in Inclusive Math Classrooms,Exceptional Children,article,NA,2015-01-01,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F0014402914551742,success,NA
10.1177/016146811711900308,openalex,Tomorrow's EdTech Today: Establishing a Learning Platform as a Collaborative Research Tool for Sound Science,Teachers College Record The Voice of Scholarship in Education,article,NA,2017-03-01,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F016146811711900308,success,NA
10.1177/016146812012200107,openalex,New Standards and Old Divides: Policy Attitudes About College- and Career-Readiness Standards for Students with Disabilities,Teachers College Record The Voice of Scholarship in Education,article,NA,2020-01-01,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F016146812012200107,success,NA
10.1177/073194871003300308,openalex,African American English and Spelling: How do Second Graders Spell Dialect-Sensitive Features of Words?,Learning Disability Quarterly,article,NA,2010-08-01,2010,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F073194871003300308,success,NA
10.1177/0963721417700129,openalex,Hard Lessons: Why Rational Number Arithmetic Is So Difficult for So Many People,Current Directions in Psychological Science,article,NA,2017-08-01,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F0963721417700129,success,NA
10.1177/1063426620942155,openalex,Caregiver Report of the Utilization of School-Based Services and Supports Among Clinically Anxious Youth,Journal of Emotional and Behavioral Disorders,article,NA,2020-07-22,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F1063426620942155,success,NA
10.1177/1534508411402983,openalex,Effects of Technology Enhancements and Type of Teacher Support on Assessing Spanish-Speaking Children’s Oral Reading Fluency in Second Grade,Assessment for Effective Intervention,article,NA,2011-04-05,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F1534508411402983,success,NA
10.1177/2332858419890326,openalex,Save Your Strokes: Chinese Handwriting Practice Makes for Ineffective Use of Instructional Time in Second Language Classrooms,AERA Open,article,NA,2019-10-01,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F2332858419890326,success,NA
10.1177/23328584211041353,openalex,"Impact of the Tennessee Voluntary Prekindergarten Program on Children’s Literacy, Language, and Mathematics Skills: Results From a Regression-Discontinuity Design",AERA Open,article,NA,2021-01-01,2021,https://api.openalex.org/works?filter=doi:https://doi.org/10.1177%2F23328584211041353,success,NA
10.1257/aer.p20151027,openalex,What High-Achieving Low-Income Students Know About College,American Economic Review,article,NA,2015-05-01,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1257%2Faer.p20151027,success,NA
10.1353/aad.2019.0005,openalex,Schooling Effects on Early Literacy Skills of Young Deaf and Hard of Hearing Children,American annals of the deaf,article,NA,2019-01-01,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1353%2Faad.2019.0005,success,NA
10.1353/aad.2019.0026,openalex,Fingerspelling and Print: Understanding the Word Reading of Deaf Children,American annals of the deaf,article,NA,2019-01-01,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1353%2Faad.2019.0026,success,NA
10.1353/etc.2011.0037,openalex,Description of an Iterative Process for Intervention Development,Education and Treatment of Children,article,NA,2011-01-01,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1353%2Fetc.2011.0037,success,NA
10.1353/etc.2014.0016,openalex,CW-FIT: Group Contingency Effects across the Day,Education and Treatment of Children,article,NA,2014-01-01,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1353%2Fetc.2014.0016,success,NA
10.1353/etc.2018.0010,openalex,Prevent-Teach-Reinforce for Young Children: A Program Description and Demonstration of Implementation in an Early Childhood Setting,Education and Treatment of Children,article,NA,2018-01-01,2018,https://api.openalex.org/works?filter=doi:https://doi.org/10.1353%2Fetc.2018.0010,success,NA
10.14507/epaa.28.4970,openalex,An integrative approach to professional development to support college- and career- readiness standards,Education Policy Analysis Archives,article,NA,2020-08-02,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.14507%2Fepaa.28.4970,success,NA
10.14507/epaa.29.5843,openalex,Faculty attitudes toward technology-driven instruction in developmental mathematics,Education Policy Analysis Archives,article,NA,2021-04-05,2021,https://api.openalex.org/works?filter=doi:https://doi.org/10.14507%2Fepaa.29.5843,success,NA
10.1542/peds.2013-2059,openalex,In-School Neurofeedback Training for ADHD: Sustained Improvements From a Randomized Control Trial,PEDIATRICS,article,NA,2014-02-18,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1542%2Fpeds.2013-2059,success,NA
10.1598/rrq.41.1.5,openalex,RTI (Response to Intervention): Rethinking special education for students with reading difficulties (yet again),Reading Research Quarterly,article,NA,2006-01-03,2006,https://api.openalex.org/works?filter=doi:https://doi.org/10.1598%2Frrq.41.1.5,success,NA
10.17988/bd-13-47.1,openalex,"The Use of Coding Methods to Estimate the Social Behavior Directed toward Peers and Adults of Preschoolers with ASD in TEACCH, LEAP, and Eclectic “BAU” Classrooms",Behavioral Disorders,article,NA,2015-02-01,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.17988%2Fbd-13-47.1,success,NA
10.18608/jla.2020.71.2,openalex,"Measuring Mastery Behaviors at Scale: The Persistence, Effort, Resilience and Challenge-Seeking Task (PERC)",Journal of Learning Analytics,article,NA,2020-03-29,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.18608%2Fjla.2020.71.2,success,NA
10.18666/ldmj-2013-v19-i2-4796,openalex,Effects of Enhanced Anchored Instruction on Skills Aligned to Common Core Math Standards,Learning Disabilities A Multidisciplinary Journal,article,NA,2013-01-01,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.18666%2Fldmj-2013-v19-i2-4796,success,NA
